title,link,date
EOIS SOUGHT FOR DRC RUNWAY ASPHALTING CONTRACT,https://constructafrica.com/projects-and-tenders/eois-sought-drc-runway-asphalting-contract,mitchell - 10/18/2023 - 09:53
DRC SEEKS CONSULTANTS FOR WATER INTAKE PROJECT,https://constructafrica.com/projects-and-tenders/drc-seeks-consultants-water-intake-project,mitchell - 10/31/2023 - 09:30
US AND EU LOOK TO ACCELERATE LOBITO CORRIDOR EXPANSION,https://constructafrica.com/news/us-and-eu-look-accelerate-lobito-corridor-expansion,sneha - 09/14/2023 - 11:49 - 0 comments
TANZANIA AND BURUNDI SIGN AGREEMENT FOR RAILWAY LINKING BOTH COUNTRIES,https://constructafrica.com/news/tanzania-and-burundi-sign-agreement-railway-linking-both-countries,chrism - 02/20/2022 - 22:45 - 0 comments
ARISE IIP STARTS WORK ON SIERRA LEONE INDUSTRIAL ZONE,https://constructafrica.com/news/arise-iip-starts-work-sierra-leone-industrial-zone,lizbains - 05/02/2023 - 17:17 - 0 comments
DRC PLANS NEW PALACE OF JUSTICE BUILDING,https://constructafrica.com/news/drc-plans-new-palace-justice-building,lizbains - 07/24/2023 - 10:56 - 0 comments
DRC'S KASANGULU SMART CITY TO BREAK GROUND NEXT MONTH,https://constructafrica.com/news/drcs-kasangulu-smart-city-break-ground-next-month,sneha - 11/22/2023 - 12:18 - 0 comments
DRC PRESIDENT MAKES INSPECTION OF RURAL INFRASTRUCTURE PROJECTS,https://constructafrica.com/news/drc-president-makes-inspection-rural-infrastructure-projects,sneha - 10/10/2023 - 14:13 - 0 comments
MALAWI AND CHINA SIGN RAIL AGREEMENT,https://constructafrica.com/news/malawi-and-china-sign-rail-agreement,sneha - 10/27/2023 - 16:59 - 0 comments
BURUNDI FIRM AWARDED US$7 MILLION CONTRACT IN DRC ,https://constructafrica.com/projects-and-tenders/burundi-firm-awarded-us7-million-contract-drc,mitchell - 11/03/2023 - 10:04
TANZANIA TO BEGIN FLOAT GLASS PRODUCTION FROM SEPTEMBER,https://constructafrica.com/news/tanzania-begin-float-glass-production-september,lizbains - 07/05/2023 - 17:36 - 0 comments
DRC SEEKS CONSULTANT FOR WATER DISTRIBUTION PROJECT,https://constructafrica.com/projects-and-tenders/drc-seeks-consultant-water-distribution-project,mitchell - 11/15/2023 - 10:37
EAP ACQUIRES MAJORITY STAKE IN DRC SOLAR PROJECTS,https://constructafrica.com/news/eap-acquires-majority-stake-drc-solar-projects,sneha - 08/09/2023 - 11:25 - 0 comments
TOTAL ENERGIES TO GO AHEAD WITH US$10B UGANDA OIL PROJECT,https://constructafrica.com/news/total-energies-go-ahead-us10b-uganda-oil-project,chrism - 06/08/2022 - 14:28 - 0 comments
LOBITO CORRIDOR RAIL LINE PLANNED FROM ANGOLA TO DRC,https://constructafrica.com/news/lobito-corridor-rail-line-planned-angola-drc,chrism - 08/15/2022 - 12:58 - 0 comments
UGANDA: AFDB SIGNS US$229.5M FINANCING AGREEMENT FOR KAMPALA-JINJA EXPRESSWAY,https://constructafrica.com/news/uganda-afdb-signs-us2295m-financing-agreement-kampala-jinja-expressway,Staff Writer - 03/19/2021 - 10:30 - 0 comments
EAST AFRICA STANDARD GAUGE RAILWAY PROJECT ON TRACK,https://constructafrica.com/news/east-africa-standard-gauge-railway-project-track,chrism - 06/22/2023 - 15:02 - 0 comments
DRC INVITES BIDS FOR TWO SCHOOLS ,https://constructafrica.com/projects-and-tenders/drc-invites-bids-two-schools,mitchell - 11/14/2023 - 11:25
FEASIBILITY STUDY UNDERWAY FOR KENYA/UGANDA ROAD,https://constructafrica.com/news/feasibility-study-underway-kenyauganda-road,sneha - 11/21/2023 - 13:52 - 0 comments
CHINA ANNOUNCES RAIL AND PORT INFRASTRUCTURE DEVELOPMENT PLANS FOR HORN OF AFRICA,https://constructafrica.com/news/china-announces-rail-and-port-infrastructure-development-plans-horn-africa,chrism - 02/13/2022 - 14:06 - 0 comments
TANZANIA TO CONSTRUCT GRAIN STORAGE FACILITY IN KENYA,https://constructafrica.com/news/tanzania-construct-grain-storage-facility-kenya,chrism - 06/24/2022 - 11:17 - 0 comments
"Moldova gets EBRD loan for M1, M2 upgrades",https://www.worldhighways.com/wh12/news/moldova-gets-ebrd-loan-m1-m2-upgrades,"MONDAY, AUGUST 28, 2023 - 00:01"
Green light for D35 Litomysl-Janov bypass,https://www.worldhighways.com/wh12/news/green-light-d35-litomysl-janov-bypass,"TUESDAY, AUGUST 15, 2023 - 00:01"
UK equipment sales bounce back in June,https://www.worldhighways.com/wh2/news/uk-equipment-sales-bounce-back-june,"TUESDAY, JULY 25, 2023 - 00:01"
Czech tenders for D6 section near Karlovy Vary,https://www.worldhighways.com/wh12/news/czech-tenders-d6-section-near-karlovy-vary,"WEDNESDAY, JUNE 7, 2023 - 00:00"
"Czech road project, bidding delay",https://www.worldhighways.com/wh10/news/czech-road-project-bidding-delay,"MONDAY, MAY 22, 2023 - 11:42"
Czech highway planning works are underway,https://www.worldhighways.com/wh10/news/czech-highway-planning-works-are-underway,"FRIDAY, MAY 5, 2023 - 10:33"
CEA: UK Construction equipment sales show strong growth in Q1,https://www.worldhighways.com/news/cea-uk-construction-equipment-sales-show-strong-growth-q1,"WEDNESDAY, APRIL 26, 2023 - 08:38"
Road tender opening for Dominican Republic,https://www.worldhighways.com/wh10/news/road-tender-opening-dominican-republic,"MONDAY, APRIL 24, 2023 - 11:39"
,https://www.worldhighways.com/wh9/news/ugandas-capital-kampala-receiving-road-upgrade,
,https://www.worldhighways.com/wh8/news/uganda-expressway-development-project-proposed,
Safety has no alternative,https://www.worldhighways.com/feature/safety-has-no-alternative,"MONDAY, JANUARY 30, 2023 - 09:51"
iRAP Innovation 2023,https://www.worldhighways.com/events/irap-innovation-2023,"WEDNESDAY, DECEMBER 21, 2022 - 09:27"
Road safety conference for 2023,https://www.worldhighways.com/wh12/news/road-safety-conference-2023,"MONDAY, DECEMBER 26, 2022 - 11:22"
Event: PIARC World Road Congress in Prague,https://www.worldhighways.com/news/event-piarc-world-road-congress-prague,"MONDAY, DECEMBER 19, 2022 - 00:00"
VINCI increases stake in Greek bridge concession,https://www.worldhighways.com/wh8/news/vinci-increases-stake-greek-bridge-concession,"TUESDAY, NOVEMBER 29, 2022 - 12:50"
IRF’s 2022 GRAA winners announced,https://www.worldhighways.com/news/irfs-2022-graa-winners-announced,"FRIDAY, NOVEMBER 4, 2022 - 11:05"
Strong performance for UK construction machinery segment,https://www.worldhighways.com/wh8/news/strong-performance-uk-construction-machinery-segment,"MONDAY, SEPTEMBER 12, 2022 - 17:31"
CSCEC wins Republic of Srpska motorway deal,https://www.worldhighways.com/wh12/news/cscec-wins-republic-srpska-motorway-deal,"THURSDAY, OCTOBER 6, 2022 - 00:00"
New road works planned for Kazakhstan,https://www.worldhighways.com/wh10/news/new-road-works-planned-kazakhstan,"THURSDAY, SEPTEMBER 1, 2022 - 10:36"
Ammann Group Company Profile,https://www.worldhighways.com/daily-news/product/bauma-2022/ammann-group-company-profile,"MONDAY, AUGUST 1, 2022 - 00:00"
CEA report shows high level of UK imports & exports of construction & earthmoving equipment in Q1,https://www.worldhighways.com/wh8/news/cea-report-shows-high-level-uk-imports-exports-construction-earthmoving-equipment-q1,"FRIDAY, JUNE 17, 2022 - 15:34"
SRL offers Sign Manager for traffic control,https://www.worldhighways.com/wh12/products/srl-offers-sign-manager-traffic-control,"WEDNESDAY, JUNE 8, 2022 - 00:00"
Checking up on the Czech Republic's Via Salis,https://www.worldhighways.com/wh8/news/checking-czech-republics-salis,"FRIDAY, MAY 20, 2022 - 00:00"
GRAA winner profile: world’s longest suspension bridge has opened in Turkey,https://www.worldhighways.com/feature/graa-winner-profile-worlds-longest-suspension-bridge-has-opened-turkey,"TUESDAY, MAY 3, 2022 - 09:35"
COWI acquiring FINLEY Engineering Group,https://www.worldhighways.com/wh10/news/cowi-acquiring-finley-engineering-group,"WEDNESDAY, APRIL 27, 2022 - 17:21"
Key African highway concession signed,https://www.worldhighways.com/wh10/news/key-african-highway-concession-signed,"TUESDAY, APRIL 19, 2022 - 12:31"
Dominican Republic motorway project underway,https://www.worldhighways.com/wh10/news/dominican-republic-motorway-project-underway,"THURSDAY, MARCH 10, 2022 - 12:09"
UK equipment sales continue upward trend,https://www.worldhighways.com/wh2/news/uk-equipment-sales-continue-upward-trend,"FRIDAY, FEBRUARY 4, 2022 - 00:00"
Cameroon’s new transport development plan,https://www.worldhighways.com/wh8/news/cameroons-new-transport-development-plan,"THURSDAY, FEBRUARY 10, 2022 - 05:51"
New highway for Siberian Russia,https://www.worldhighways.com/wh10/news/new-highway-siberian-russia,"WEDNESDAY, JANUARY 26, 2022 - 12:39"
Europe’s steady demand for asphalt,https://www.worldhighways.com/wh6/news/europes-steady-demand-asphalt,"TUESDAY, JANUARY 4, 2022 - 14:06"
A new road plan benefiting DR Congo,https://www.worldhighways.com/wh8/news/new-road-plan-benefiting-dr-congo,"THURSDAY, DECEMBER 16, 2021 - 17:04"
Komatsu unveils earthmoving digitalisation venture,https://www.worldhighways.com/wh7/news/komatsu-unveils-earthmoving-digitalisation-venture,"WEDNESDAY, DECEMBER 8, 2021 - 14:39"
3i buys SRL Traffic Systems,https://www.worldhighways.com/wh11/products/3i-buys-srl-traffic-systems,"TUESDAY, DECEMBER 7, 2021 - 00:00"
Funding secured for Congo road project,https://www.worldhighways.com/wh8/news/funding-secured-congo-road-project,"TUESDAY, DECEMBER 14, 2021 - 13:13"
Meet Die Autobahn des Bundes,https://www.worldhighways.com/wh12/feature/meet-die-autobahn-des-bundes,"MONDAY, NOVEMBER 8, 2021 - 00:00"
East Africa’s dream of a ‘Silk Road’ in sight,https://www.worldhighways.com/feature/east-africas-dream-silk-road-sight,"FRIDAY, OCTOBER 22, 2021 - 15:04"
Financing secured for Serbian road project,https://www.worldhighways.com/wh8/news/financing-secured-serbian-road-project,"FRIDAY, OCTOBER 29, 2021 - 11:33"
A new Russian road project,https://www.worldhighways.com/wh10/news/new-russian-road-project,"THURSDAY, OCTOBER 21, 2021 - 09:00"
Ukraine opts for Kistler,https://www.worldhighways.com/products/ukraine-opts-kistler,"THURSDAY, OCTOBER 14, 2021 - 00:00"
CHINA GRANTS DEBT RELIEF TO DEMOCRATIC REPUBLIC OF CONGO,https://gambetanews.com/china-grants-debt-relief-to-democratic-republic-of-congo/,"January 7, 2021"
DEMOCRATIC REPUBLIC OF CONGO SIGN INGA III DAM PROJECT DEAL,https://gambetanews.com/democratic-republic-of-congo-sign-dam-project-deal/,"October 22, 2018"
KENYA FIRM TO LEAD CONSTRUCTION OF SMART CITY PROJECT IN DR CONGO,https://gambetanews.com/kenya-firm-to-lead-construction-of-smart-city-project-in-dr-congo/,"November 13, 2023"
HOW MUTUAL AID ORGANIZATION IS TRANSFORMING KIRUMBA URBAN LANDSCAPE IN D.R.CONGO,https://gambetanews.com/how-mutual-aid-organization-is-transforming-kirumba-urban-landscape-in-drc/,"January 6, 2023"
HEAVY FLOOD RESULT TO DEATH OF MORE THAN 120 PEOPLE IN DR CONGO CAPITAL,https://gambetanews.com/heavy-flood-result-to-death-of-more-than-120-people-in-dr-congo-capital/,"December 14, 2022"
PRESIDENT OF BOTSWANA IN DR CONGO TO STRENGTHEN BILATERAL COOPERATION,https://gambetanews.com/president-of-botswana-in-dr-congo-to-strengthen-bilateral-cooperation/,"March 16, 2021"
SOUTH AFRICA’S CYRIL RAMAPHOSA HANDSOVER AFRICAN UNION CHAIRPERSON TO PRESIDENT OF DR CONGO,https://gambetanews.com/south-africas-cyril-ramaphosa-handsover-african-union-chairperson-to-president-of-dr-congo/,"February 9, 2021"
SOLVING THE ISSUE OF ILLEGAL MINING ACTIVITIES IN DR CONGO,https://gambetanews.com/solving-the-issue-of-illegal-mining-activities-in-dr-congo/,"February 8, 2021"
MOROCCO AND DR CONGO SIGN AGREEMENT FOR COOPERATION IN ELECTRICITY REGULATION,https://gambetanews.com/morocco-and-dr-congo-sign-agreement-for-cooperation-in-electricity-regulation/,"January 25, 2021"
R&B SINGER AKON TO FINANCE MINING ACTIVITIES IN CONGO,https://gambetanews.com/rb-singer-akon-to-finance-mining-activities-in-congo/,"January 7, 2021"
HOW DAR ES SALAAM PORT INEFFICIENCES ARE DERAILING TANZANIA’S ECONOMY,https://gambetanews.com/how-dar-es-salaam-port-inefficiences-are-derailing-tanzanias-economy/,"October 23, 2023"
ZIMBABWE HIGHWAY EPITAPHS: THE WAY FORWARD,https://gambetanews.com/zimbabwe-highway-epitaphs-the-way-forward/,"August 23, 2023"
UGANDA GENERAL COMMISSION MULTI-BILLION APARTMENT,https://gambetanews.com/uganda-general-commission-multi-billion-apartment/,"August 15, 2023"
NAMIBIA GOVERNOR CALLS FOR KATIMA MULILO BORDER PROJECT TO BE FAST-TRACKED,https://gambetanews.com/namibia-governor-calls-for-katima-mulilo-border-project-to-be-fast-tracked/,"August 9, 2023"
HOW NEW REFINERY CONSTRUCTION CAN HELP ANGOLA CRUDE OIL INDUSTRY,https://gambetanews.com/how-new-refinery-construction-can-help-angola-crude-oil-industry/,"July 24, 2023"
ROAD CONSTRUCTION LINKING DAR AND KAREMA PORT BEGANS IN TANZANIA,https://gambetanews.com/road-construction-linking-dar-and-karema-port-begans-in-tanzania/,"July 13, 2023"
KENYA AND THREE OTHER AFRICAN COUNTIRES MAKING PLANS TO CONSTRUCT TRANS-AFRICAN RAILWAY LINE,https://gambetanews.com/kenya-and-three-other-african-countires-making-plans-to-construct-trans-african-railway-line/,"May 30, 2023"
ECA CHEIF SAYS BRIDGING INFRASTRUCTURAL GAP WILL BENEFIT AfCFTA,https://gambetanews.com/eca-cheif-says-bridging-infrastructural-gap-will-benefit-afcfta/,"May 16, 2023"
KWALA DRY PORT CONSTRUCTION COMPLETED IN TANZANIA,https://gambetanews.com/kwala-dry-port-construction-completed-in-tanzania/,"May 8, 2023"
TANZANIA GOVT ALLOCATE 2BN FUNDS FOR CONSTRUCTION OF ISOLATION CENTRE,https://gambetanews.com/tanzania-govt-allocate-2bn-funds-for-construction-of-isolation-centre/,"April 13, 2023"
JUMBO STEEL MILL TO INVEST SH2BILLON FOR KISUMU NEW PLANT FACTOR,https://gambetanews.com/jumbo-steel-mill-to-invest-sh2billon-for-kisumu-new-plant-factor/,"June 8, 2022"
PUTTING THE RIGHT COGS IN PLACE FOR NET-ZERO IN MINING,https://gambetanews.com/putting-the-right-cogs-in-place-for-net-zero-in-mining/,"May 26, 2022"
"RWANDA, DRC & BURUNDI US$25M INITIATIVE CLIMATE CRISIS",https://gambetanews.com/rwanda-drc-burundi-us25m-initiative-climate-crisis/,"May 3, 2022"
CONSTRUCTION OF NEW GISENYI HOSPITAL TO COST €32M IN RWANDA,https://gambetanews.com/construction-of-new-gisenyi-hospital-to-cost-e32m-in-rwanda/,"February 8, 2022"
LAKE TANGANYIKA – THE WORLD’S SECOND-DEEPEST LAKE TRIGGERS ENGINEERING CHALLENGE IN BURUNDI,https://gambetanews.com/lake-tanganyika-the-worlds-second-deepest-lake-triggers-engineering-challenge-in-burundi/,"July 13, 2021"
AUSTRALIA’S RICHEST MAN PLANS TO BUILD THE LARGEST HYDROELECTRIC PROJECT IN AFRICA,https://gambetanews.com/australias-richest-man-to-build-africas-largest-hydroelectric-project/,"June 17, 2021"
51 AFRICAN LEADERS’ VOTE IN FAVOR OF MOUSSA FAKI MAHAMAT FOR A 2ND TERM AS AFRICAN UNION CHAIRMAN,https://gambetanews.com/51-african-leaders-vote-in-favor-of-moussa-faki-mahamat-for-a-2nd-term-as-african-union-chairman/,"February 8, 2021"
CHINA – AFRICA COOPERATION REMAINS STABLE – CHINESE STATE COUNCILOR REAFFIRMS,https://gambetanews.com/china-africa-cooperation-remains-stable-chinese-state-councilor-reaffirms/,"January 19, 2021"
HOW AFRICAN COUNTRIES ARE LACKING FUND TO PROVIDE GREEN ENERGY,https://gambetanews.com/how-african-countries-are-lacking-fund-to-provide-green-energy/,"December 7, 2020"
TRINITY ENERGY TO BUILD US$500M REGIONAL REFINERY IN SOUTH SUDAN,https://gambetanews.com/trinity-energy-to-build-us500m-regional-refinery-in-south-sudan/,"October 7, 2020"
RWANDA SIGNS US$400m METHANE GAS PRODUCTION DEAL,https://gambetanews.com/rwanda-signs-us400m-deal-to-extract-methane-gas-from-lake-kivu/,"February 6, 2019"
PHOTOS FROM THE HIGH-LEVEL MEETING HELD IN ADDIS ABABA,https://gambetanews.com/addis-ababa-high-level-meeting/,"January 19, 2019"
ANGOLA GOVERNMENT SET TO RECONSTRUCT NATIONAL ROADS,https://gambetanews.com/angola-government-set-to-reconstruct-national-roads/,"October 17, 2018"
ZIMBABWE RECEIVED FUNDS FROM JAPAN FOR ROAD PROJECT,https://gambetanews.com/zimbabwe-received-funds-from-japan-for-road-project/,"June 21, 2018"
CIMAF SET TO CONSTRUCT CEMENT PLANT IN IVORY COAST,https://gambetanews.com/cimaf-set-to-construct-cement-plant-in-ivory-coast/,"May 16, 2018"
TANZANIA RE-ADVERTISE TENDER FOR KIGOMA PORT UPGRADE,https://gambetanews.com/tanzania-re-advertise-tender-for-kigoma-port-upgrade/,"April 10, 2018"
NEW CARGO TO BE CONSTRUCTED IN TANZANIA,https://gambetanews.com/new-cargo-to-be-constructed-in-tanzania/,"February 22, 2018"
MALL FOR AFRICA SPREADS TO MORE PARTS OF AFRICA.,https://gambetanews.com/mall-for-africa-expansion/,"February 2, 2018"
Angola – Africa’s Oil Giant,https://gambetanews.com/angola-africas-oil-giant/,"November 13, 2017"
IVANHOE MINES AGREE MOU WITH SNCC TO BUILD RAILWAY,https://gambetanews.com/ivanhoe-mines-agree-mou-with-sncc-to-build-railway/,"October 31, 2017"
